subject,group,idnews,theme,veracity,eval,eval_RT,judgment,success,rec,rec_RT,WTP,WTP_RT,ambiguity,split,desirability,SOS_Méditerranée,FEMEN,Génération_Identitaire,La_Manif_Pour_Tous,Greenpeace,WWF,NIPCC,Climato_réalistes,Mouvement_Européen_France,Fondation_Robert_Schuman,Frexit,Parti_Libertarien,age,sex,education
2,2,180,2,1,-59,14622,0,0,2,482,0,1317,5.36363636363636,6,6.54545454545455,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,109,2,1,100,4946,1,1,2,434,0,1269,6.1,5,4.4,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,80,2,0,100,3619,1,0,2,467,0,1479,4.63636363636364,6.63636363636364,6.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
2,2,145,2,1,-38,36969,0,0,2,498,0,1909,3.81818181818182,7.36363636363636,6.63636363636364,69,55,29,38,62,64,86,69,64,67,38,50,28,1,4
3,2,192,1,1,-77,32738,0,0,1,3639,14,10889,5.90909090909091,6.45454545454545,5.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,130,1,1,-90,25500,0,0,1,3569,22,5368,4.90909090909091,6.09090909090909,7.45454545454545,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,119,1,0,-79,42544,0,1,2,140375,11,7602,4.72727272727273,7,5.90909090909091,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,18,1,1,82,32355,1,1,2,2784,18,7528,4.9,6,6.4,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,34,1,1,85,37033,1,1,1,10239,13,10449,6.54545454545455,8.36363636363636,7,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,109,1,0,-49,66231,0,1,1,966,18,8512,4.72727272727273,7.45454545454545,6.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,116,1,1,-86,51752,0,0,1,1345,21,5504,3.7,3.7,6.7,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,209,1,1,-95,25820,0,0,2,20423,18,5009,6.09090909090909,7.18181818181818,5.54545454545455,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,122,3,0,-81,68196,0,1,2,12509,19,7711,6.8,8.8,8,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
3,2,180,3,0,40,28019,1,0,1,1366,15,13816,4.45454545454545,6.36363636363636,6.63636363636364,79,69,81,29,83,98,38,55,19,31,14,50,18,2,2
